ID,Text,Comment
KeyBinding.ToggleSelectMode,切換選擇模式,
KeyBinding.GamepadMoveDown,向下導覽,
KeyBinding.GamepadMoveLeft,向左導覽,
KeyBinding.GamepadMoveRight,向右導覽,
KeyBinding.GamepadMoveUp,向上導覽,
KeyBindingGroup.GamePad,遊戲手把,
KeyBinding.GamepadCameraRotateModifier,按住以旋轉攝影機,
ControllerSupport.NoGamepadDialog.Message,"未偵測到控制器。Steam Input 預設會將控制器設定為鍵盤與滑鼠配置，而此模組無法使用該配置。請切換至遊戲手把配置，以啟用控制器支援。",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,開啟推薦的控制器配置,
ControllerSupport.NoGamepadDialog.IgnoreButton,忽略,
KeyBinding.IncreaseFloodgateHeight,增加滑桿,
KeyBinding.DecreaseFloodgateHeight,減少滑桿,
KeyBinding.CursorHeightUp,提高游標高度,
KeyBinding.CursorHeightDown,降低游標高度,
ControllerSupport.Settings.HapticsHeader,控制器震動,
ControllerSupport.Settings.EnableVibration,啟用控制器震動,
ControllerSupport.Settings.ShortcutHintsHeader,快捷鍵提示,
