ID,Text,Comment
KeyBinding.ToggleSelectMode,Attiva/disattiva modalità selezione,
KeyBinding.GamepadMoveDown,Naviga verso il basso,
KeyBinding.GamepadMoveLeft,Naviga verso sinistra,
KeyBinding.GamepadMoveRight,Naviga verso destra,
KeyBinding.GamepadMoveUp,Naviga verso l'alto,
KeyBindingGroup.GamePad,Controller,
KeyBinding.GamepadCameraRotateModifier,Tieni premuto per ruotare la telecamera,
ControllerSupport.NoGamepadDialog.Message,"Nessun controller rilevato. Per impostazione predefinita, Steam Input assegna al controller una configurazione di tastiera e mouse che questa mod non può utilizzare. Passa a una configurazione gamepad per abilitare il supporto al controller.",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,Apri configurazione controller consigliata,
ControllerSupport.NoGamepadDialog.IgnoreButton,Ignora,
KeyBinding.IncreaseFloodgateHeight,Aumenta cursore,
KeyBinding.DecreaseFloodgateHeight,Riduci cursore,
KeyBinding.CursorHeightUp,Aumenta altezza cursore,
KeyBinding.CursorHeightDown,Diminuisci altezza cursore,
ControllerSupport.Settings.HapticsHeader,Vibrazione del controller,
ControllerSupport.Settings.EnableVibration,Abilita la vibrazione del controller,
ControllerSupport.Settings.ShortcutHintsHeader,Suggerimenti sulle scorciatoie,
ControllerSupport.Settings.ShowGamepadShortcutIcons,Mostra le icone dei pulsanti del gamepad nei suggerimenti sulle scorciatoie,
