ID,Text,Comment
KeyBinding.ToggleSelectMode,選択モードの切り替え,
KeyBinding.GamepadMoveDown,下に移動,
KeyBinding.GamepadMoveLeft,左に移動,
KeyBinding.GamepadMoveRight,右に移動,
KeyBinding.GamepadMoveUp,上に移動,
KeyBindingGroup.GamePad,ゲームパッド,
KeyBinding.GamepadCameraRotateModifier,押し続けてカメラを回転,
ControllerSupport.NoGamepadDialog.Message,"コントローラーが検出されませんでした。Steam Input はデフォルトでコントローラーをキーボードとマウスのレイアウトに設定しますが、このModでは使用できません。コントローラーを使用するには、ゲームパッドのレイアウトに切り替えてください。",
ControllerSupport.NoGamepadDialog.OpenLayoutButton,推奨コントローラーレイアウトを開く,
ControllerSupport.NoGamepadDialog.IgnoreButton,無視,
KeyBinding.IncreaseFloodgateHeight,スライダーを上げる,
KeyBinding.DecreaseFloodgateHeight,スライダーを下げる,
KeyBinding.CursorHeightUp,カーソルの高さを上げる,
KeyBinding.CursorHeightDown,カーソルの高さを下げる,
ControllerSupport.Settings.HapticsHeader,コントローラー振動,
ControllerSupport.Settings.EnableVibration,コントローラーの振動を有効にする,
ControllerSupport.Settings.ShortcutHintsHeader,ショートカットヒント,
ControllerSupport.Settings.ShowGamepadShortcutIcons,ショートカットヒントにゲームパッドのボタンアイコンを表示,
